PIM
72,4
69,7
77,4
79,6
80,4
77,5
83,3
83,6
82,1
89,2
83,9
74,6
74
71,8
77,4
76,5
79,7
76,3
81,3
81,6
85,7
90
84,6
77,9
76,8
74
86,9
82,2
86,3
86,1
90,1
92,1
92,1
93,5
91,8
84,7
81
76,4
88
87
91,1
91,4
90,5
95,6
92
93,7
92,4
86,6
83,7
80,2
92,4
85,7
95,4
91,1
93,8
98,6
93,2
97,5
95,9
87
87
82,6
96,4
90,6
99,9
96,9
99,8
104,9
98,4
107,8
102,4
92,6
94,8
91,1
97,7
99,2
102,5
103,3
108,5
106,9
107,3
108,4
96,2
79,1
78,7
76,1
88,6
85,2
91,3
92,2
97,7
99,6
99,4
105,6
101,4
94,1
91,2
89
105,1
99,3
104,3
102,5
106,9
108,1
105,8
107,7
106,8
96,6
93,2
95,4
104,4
97,5
107,1
102,8
106,1
110,8
104,8
106,3
104,2
95,7
88,7
89,8
99,7
92,8
102,5
98,3
104,5
111,5
103,4
111,8
104,8
92,2
94,5
88,1
97,7
101,8
105
101,7
108
112
107,3
112,6
106,1
90,1
92,6
92,1
97,2
95,9
101,5
94,6
104,1
106,1
105,2
108,8
99,6
87,6
